Species,Elevation,Body_length,Proboscis_length,Head_diameter,Body_diameter,Weight_dry,Pollen_head,Pollen_thorax,Pollen_legs,Pollen_abdomen
Cecidomyiidae_sp.,2379,1.22,NA,0.2,NA,NA,0,1,0,0
Cerambycidae_sp.,1181,8.015,1.59,1.315,1.18,NA,1,2,2.5,2.5
Cerambycidae_sp.,1463,7.905,2.14,1.405,1.883333333,NA,1.5,1.25,2.25,1.75
Cerambycidae_sp.,1860,7.71,1.51,1.47,3.205,NA,1.333333333,2,2.333333333,1.666666667
Cerambycidae_sp.,2080,10.68,NA,2.44,2.22,NA,2,3,3,3
Cerambycidae_sp.,2379,3.955,NA,0.825,1.09,NA,1,0.5,1.5,1
Ceratopogonidae_sp.,1181,1.51,NA,0.335,NA,NA,0.2,0.4,0.6,0.1
Ceratopogonidae_sp.,1463,1.4625,NA,0.335,NA,NA,0,0,0,0
Ceratopogonidae_sp.,1632,1.25,NA,0.315,NA,NA,0,0,0,0
Ceratopogonidae_sp.,1860,1.16,NA,0.25,NA,NA,0,1,0,0
Ceratopogonidae_sp.,2283,1.445714286,NA,0.360714286,NA,NA,0.071428571,0.428571429,0.214285714,0.214285714
Chalcidoidea_sp.,1181,1.825,NA,0.58,NA,NA,0.5,0,0.5,0
Chalcidoidea_sp.,1463,2.296,NA,0.678,NA,NA,0,0,0,0.1
Chalcidoidea_sp.,1860,1.52,NA,0.35,NA,NA,0,0,0,0
Chalcidoidea_sp.,2283,1.656666667,NA,0.423333333,NA,NA,0.333333333,0,0.333333333,0
Chalcidoidea_sp.,2379,2.5,NA,0.7025,NA,NA,0.5,0.75,0.25,0.25
Chaoboridae_sp.,1463,1.55,NA,0.365,NA,NA,0,0,0,0
Cheilosia_carbonaria,1181,11.08,2.73,3.38,NA,NA,2,3,3,3
Cheilosia_griseiventris,1632,13.05,3.085,4.185,NA,NA,2.5,3.5,3.5,3
Cheilosia_laticornis,1632,11.815,3.33,4.025,NA,NA,3,3.5,3.5,3.5
Cheilosia_sp.,1181,9.165714286,2.138461538,2.949285714,NA,NA,1.416666667,2.833333333,2.666666667,2.083333333
Cheilosia_sp.,1463,12.5,3.01,3.96,NA,NA,3,4,3,3
Cheilosia_sp.,1632,9.07,2.226744186,2.848604651,NA,NA,1.875,3,2.9375,2.5625
Cheilosia_sp.,2283,7.687407407,1.748148148,2.476666667,NA,NA,1.592592593,3,3,2.62962963
Cheilosia_sp.,2379,6.202156863,1.156470588,1.777254902,NA,NA,0.921568627,1.921568627,1.882352941,1.019607843
Chiastocheta_trollii,1632,3.04,0.55,0.87,NA,NA,1,3,3,2
Chironomidae_sp.,1181,1.39,NA,0.3,NA,NA,0,0,0,0
Chironomidae_sp.,1463,1.4475,NA,0.3575,NA,NA,0,0.5,0.5,0
Chironomidae_sp.,1860,1.57,NA,0.36,NA,NA,0,0.333333333,0,0
Chironomidae_sp.,2080,1.254166667,NA,0.2525,NA,NA,0.090909091,1.090909091,0.272727273,0.454545455
Chironomidae_sp.,2283,1.9,NA,0.23,NA,NA,0,1,0,0
Chironomidae_sp.,2379,1.145,NA,0.3,NA,NA,0,0,0,0
Chironomidae_sp.,2587,2.18,NA,0.55,NA,NA,0,1,0,1
Chloropidae_sp.,1181,1.675625,NA,0.625625,NA,NA,0.625,0.8125,0.625,0.1875
Chloropidae_sp.,1463,1.904230769,NA,0.656153846,NA,NA,0.115384615,0.769230769,0.653846154,0.269230769
Chloropidae_sp.,1632,1.7525,NA,0.67125,NA,NA,0.375,0.625,0.625,0.25
Chloropidae_sp.,1860,1.811818182,0.2,0.621818182,NA,NA,0.227272727,0.636363636,0.590909091,0.318181818
Chloropidae_sp.,2080,2.358,NA,0.783333333,NA,NA,0.333333333,1.166666667,0.833333333,0.166666667
