Plant_species	Plot	Elevation	Display_size	Flower_diameter	Floral_depth	Petal_width	Petal_length	Stylus_length	Filament_length	Nectar_depth	Nectar_width	Stylus_position	Filament_position	Plant_height	Flower_inclination	Leaf_inclination	Number_leaves	Number_inflorescense	Number_flowers_per_inflo	Leaf_width	Leaf_length	Leaf_thickness	Leaf_Area	Leaf_weight_fresh	Leaf_weight_dry	Succulence	Specific_leaf_weight	Leaf_lobation
Geum_montanum	Nassfeld	2283	19.25	19.25	11.39	12.49	10.62	8.31	9.73	0	0	8.31	9.73	NA	NA	NA	NA	NA	1	34.88	88.95	0.42	18.41922433	2.2633	1.5563	0.383838096	0.844932432	2.645885026
Geum_montanum	Nassfeld	2283	26.63	26.63	12.11	14.86	12.7	8.83	11.07	0	0	8.83	11.07	NA	NA	NA	NA	NA	1	27.45	52.91	0.35	7.800362723	NA	NA	NA	NA	2.924726022
Geum_montanum	Nassfeld	2283	22.74	22.74	12.6	13.02	11.97	9.35	8.76	0	0	9.35	8.76	NA	NA	NA	NA	NA	1	32.56	64.47	0.35	10.24434989	2.6565	1.7304	NA	1.689126219	3.218678065
Geum_montanum	Nassfeld	2283	22.56	22.56	12.69	13.62	11.78	9.21	10.89	0	0	9.21	10.89	NA	NA	NA	NA	NA	1	47.51	76.09	0.39	21.19022042	1.0328	0.7766	0.12090483	0.366489817	2.679766893
Geum_montanum	Nassfeld	2283	22.01	22.01	13.09	14.15	11.61	8.69	8.37	0	0	8.69	8.37	NA	NA	NA	NA	NA	1	35.46	75.48	0.4	12.14383371	1.6511	0.8316	0.674828081	0.684791986	3.46206078
Geum_montanum	Nassfeld	2283	18.56	18.56	13.35	11	10.84	8.62	9.85	0	0	8.62	9.85	NA	NA	NA	NA	NA	1	25	62.83	0.38	6.971121652	3.1513	1.9725	1.690976085	2.829530309	3.539356295
Geum_montanum	Nassfeld	2283	25.76	25.76	13.69	13.12	12.77	9.46	8.24	0	0	9.46	8.24	NA	NA	NA	NA	NA	1	38.38	95.86	0.32	17.36446708	3.4524	2.4725	0.564313316	1.423884758	3.328134069
Geum_montanum	Nassfeld	2283	20.93	20.93	14.81	13.11	12.27	7.66	9.6	0	0	7.66	9.6	NA	NA	NA	NA	NA	1	42.39	79.85	0.31	17.52825056	1.5405	0.9902	0.313950327	0.564916617	3.033329868
Geum_montanum	Nassfeld	2283	23.85	23.85	15.81	13.14	13.95	9.34	11.39	0	0	9.34	11.39	NA	NA	NA	NA	NA	1	43.33	77.59	0.34	19.13162667	1.4299	1.0891	0.178134356	0.569266806	2.760338993
Hieracium_alpinum	Hexenkueche	2080	12.8	2.61	15.9	2.61	15.9	9.92	9.5	4.42	0.54	5.5	5.08	199	160	80	3	1	33	6.03	49.51	0.28	3.247445766	0.644	0.0674	1.775549283	0.207547731	1.444069876
Hieracium_alpinum	Hexenkueche	2080	14.59	2.55	16.18	2.55	16.18	13.57	9.1	4.56	0.45	9.01	4.54	130	140	140	5	1	26	8.89	53.23	0.31	1.482575227	0.548	0.0988	3.029863118	0.666408005	5.013734878
Hieracium_alpinum	Hexenkueche	2080	23.15	2.9	16.87	2.9	16.87	15.35	9.9	4.6	0.57	10.75	5.3	271	165	140	6	1	35	6.01	33.3	0.28	5.77179846	0.419	0.0909	0.568453667	0.157489907	0.544662437
Hieracium_alpinum	Hexenkueche	2080	14.1	3.34	17.86	3.34	17.86	13.21	8.39	5.11	0.47	8.1	3.28	140	170	120	4	1	24	13.97	68.01	0.27	2.952624213	0.343	0.047	1.002498045	0.159180433	5.054531194
Hieracium_alpinum	Hexenkueche	2080	14.36	3.14	17.94	3.14	17.94	13.39	9.11	4.74	0.42	8.65	4.37	214	180	140	4	1	24	10.53	50.57	0.36	2.270118964	0.129	0.0543	0.329057645	0.239194513	3.684618982
