"","Species","Body_length","Proboscis_length","Head_diameter"
"255","1181.2",11.12111111,4.162222222,3.78
"256","1181.2",11.12111111,4.162222222,3.78
"257","1181.2",11.12111111,4.162222222,3.78
"258","1181.2",11.12111111,4.162222222,3.78
"259","1181.2",11.12111111,4.162222222,3.78
"260","1181.2",11.12111111,4.162222222,3.78
"261","1181.2",11.12111111,4.162222222,3.78
"262","1181.2",11.12111111,4.162222222,3.78
"263","1181.2",11.12111111,4.162222222,3.78
"264","1181.2",11.12111111,4.162222222,3.78
"265","1181.2",10.612,5.344,3.322
"266","1181.2",10.612,5.344,3.322
"267","1181.2",10.612,5.344,3.322
"268","1181.2",10.612,5.344,3.322
"269","1181.2",10.612,5.344,3.322
"270","1181.2",10.612,5.344,3.322
"271","1181.2",10.85333333,4.1,3.393333333
"272","1181.2",10.85333333,4.1,3.393333333
"273","1181.2",10.85333333,4.1,3.393333333
"274","1181.2",10.85333333,4.1,3.393333333
"275","1181.2",11.1,5.43,3.645
"276","1181.2",11.1,5.43,3.645
"277","1181.2",11.1,5.43,3.645
"278","1181.2",11.1,5.43,3.645
"279","1181.2",11.26555556,4.556666667,3.385555556
"280","1181.2",11.26555556,4.556666667,3.385555556
"281","1181.2",11.26555556,4.556666667,3.385555556
"282","1181.2",11.26555556,4.556666667,3.385555556
"283","1181.2",11.625,4.706666667,3.431666667
"284","1181.2",11.625,4.706666667,3.431666667
"285","1181.2",11.625,4.706666667,3.431666667
"286","1181.2",11.625,4.706666667,3.431666667
"287","1181.2",12.066,4.884,3.671
"288","1181.2",12.066,4.884,3.671
"289","1181.2",12.066,4.884,3.671
"290","1181.2",12.066,4.884,3.671
"291","1181.2",12.066,4.884,3.671
"292","1181.2",12.066,4.884,3.671
"293","1181.2",12.08,3.884,3.759
"294","1181.2",12.08,3.884,3.759
"295","1181.2",12.08,3.884,3.759
"296","1181.2",12.08,3.884,3.759
"297","1181.2",12.08,3.884,3.759
"298","1181.2",12.08,3.884,3.759
"299","1181.2",12.08,3.884,3.759
"300","1181.2",12.08,3.884,3.759
"301","1181.2",12.19,5,3.42
"302","1181.2",4.56,1.114285714,1.484285714
"303","1181.2",4.56,1.114285714,1.484285714
"304","1181.2",7.418181818,1.479090909,1.855454545
"305","1181.2",7.418181818,1.479090909,1.855454545
"306","1181.2",7.418181818,1.479090909,1.855454545
"307","1181.2",7.418181818,1.479090909,1.855454545
"308","1181.2",8.037368421,1.990526316,2.812631579
"309","1181.2",8.037368421,1.990526316,2.812631579
"310","1181.2",8.037368421,1.990526316,2.812631579
"311","1181.2",8.037368421,1.990526316,2.812631579
"312","1181.2",8.037368421,1.990526316,2.812631579
"313","1181.2",8.037368421,1.990526316,2.812631579
"314","1181.2",8.037368421,1.990526316,2.812631579
"315","1181.2",8.037368421,1.990526316,2.812631579
"316","1181.2",8.037368421,1.990526316,2.812631579
"317","1181.2",8.037368421,1.990526316,2.812631579
"318","1181.2",8.037368421,1.990526316,2.812631579
"319","1181.2",8.037368421,1.990526316,2.812631579
"320","1181.2",8.037368421,1.990526316,2.812631579
"321","1181.2",8.037368421,1.990526316,2.812631579
"322","1181.2",8.037368421,1.990526316,2.812631579
"323","1181.2",8.037368421,1.990526316,2.812631579
"324","1181.2",8.015,1.59,1.315
"325","1181.2",11.08,2.73,3.38
"326","1181.2",9.165714286,2.138461538,2.949285714
"327","1181.2",9.165714286,2.138461538,2.949285714
"328","1181.2",9.165714286,2.138461538,2.949285714
"329","1181.2",9.165714286,2.138461538,2.949285714
"330","1181.2",9.165714286,2.138461538,2.949285714
"331","1181.2",9.165714286,2.138461538,2.949285714
"332","1181.2",11.182,2.1,3.788
"333","1181.2",11.182,2.1,3.788
"334","1181.2",11.182,2.1,3.788
"335","1181.2",11.46,2.05,3.79
"336","1181.2",3.36,0.565,0.95
"337","1181.2",3.36,0.565,0.95
"338","1181.2",3.44,0.64,0.87
"339","1181.2",11.3,0,1.686666667
"340","1181.2",11.3,0,1.686666667
"341","1181.2",11.3,0,1.686666667
"342","1181.2",11.3,0,1.686666667
"343","1181.2",3.67,1.100140845,0.734166667
"344","1181.2",3.67,1.100140845,0.734166667
